treatment,conditioned-on,attribute,p-value
all-analgesics,,sex,0.33761888837552656
all-analgesics,,race,0.38661775116528085
all-analgesics,,age,0.8232907071033063
all-analgesics,surgical-procedures,sex,0.991917440241452
all-analgesics,surgical-procedures,race,0.30289289891089805
all-analgesics,surgical-procedures,age,0.4311599660611445
all-analgesics,non-surgical-procedures,sex,0.15720198553712827
all-analgesics,non-surgical-procedures,race,0.699119361330143
all-analgesics,non-surgical-procedures,age,0.6044739251676988
narcotics,,sex,0.0352677831348788
narcotics,,race,0.4181510325371259
narcotics,,age,0.27355103057231295
narcotics,surgical-procedures,sex,0.7328192258903229
narcotics,surgical-procedures,race,0.4239260745560483
narcotics,surgical-procedures,age,0.5517715713663243
narcotics,non-surgical-procedures,sex,0.005063856289965077
narcotics,non-surgical-procedures,race,0.5714096131168857
narcotics,non-surgical-procedures,age,0.06946801467020867
