treatment,day-no,attribute,conditioned-on,majority-yes,majority-no,minority-yes,minority-no,p-value
aspirin,1,sex,,139,63,44,20,0.9989906048441736
aspirin,1,sex,c-shock,10,6,9,4,0.7862791849125473
aspirin,1,sex,no-c-shock,129,57,35,16,0.9540297371920475
aspirin,1,race,,114,39,21,10,0.45152354042979637
aspirin,1,race,c-shock,11,4,3,0,0.39830310922732626
aspirin,1,race,no-c-shock,103,35,18,10,0.2808115842957485
aspirin,2,sex,,159,43,47,17,0.47274331324506297
aspirin,2,sex,c-shock,15,1,8,5,0.040983043611049784
aspirin,2,sex,no-c-shock,144,42,39,12,0.9246710661332355
aspirin,2,race,,128,25,25,6,0.8799160507135763
aspirin,2,race,c-shock,13,2,3,0,0.7504670253635131
aspirin,2,race,no-c-shock,115,23,22,6,0.6924266610596116
aspirin,3,sex,,151,50,45,17,0.7235622427525606
aspirin,3,sex,c-shock,15,1,7,4,0.0820173110834521
aspirin,3,sex,no-c-shock,136,49,38,13,0.8955707964659583
aspirin,3,race,,121,31,23,8,0.5984813372744119
aspirin,3,race,c-shock,13,1,3,0,0.9979095458984397
aspirin,3,race,no-c-shock,108,30,20,8,0.4765653194237573
aspirin,4,sex,,109,65,34,17,0.6154297187387908
aspirin,4,sex,c-shock,14,2,7,1,1.0
aspirin,4,sex,no-c-shock,95,63,27,16,0.7690111275931777
aspirin,4,race,,95,35,18,9,0.56007598404648
aspirin,4,race,c-shock,11,2,3,0,0.663701458645489
aspirin,4,race,no-c-shock,84,33,15,9,0.4188668068406672
aspirin,5,sex,,84,33,29,12,0.9615220403520309
aspirin,5,sex,c-shock,11,5,7,1,0.37779155304519113
aspirin,5,sex,no-c-shock,73,28,22,11,0.71867101536782
aspirin,5,race,,73,24,17,5,0.8850522433648352
aspirin,5,race,c-shock,9,4,3,0,0.3443835929816998
aspirin,5,race,no-c-shock,64,20,14,5,0.8528884587236593
aspirin,1-5,sex,,642,254,199,83,0.7313149241822802
aspirin,1-5,sex,c-shock,65,15,38,15,0.22303358128041487
aspirin,1-5,sex,no-c-shock,577,239,161,68,0.9074472610187436
aspirin,1-5,race,,531,154,104,38,0.3187806999976518
aspirin,1-5,race,c-shock,57,13,15,0,0.07136264181961426
aspirin,1-5,race,no-c-shock,474,141,89,38,0.09490236561778281
non-aspirin-anti-platelet,1,sex,,122,80,40,24,0.7675681248849556
non-aspirin-anti-platelet,1,sex,c-shock,9,7,7,6,0.9649669256864084
non-aspirin-anti-platelet,1,sex,no-c-shock,113,73,33,18,0.6516020987014705
non-aspirin-anti-platelet,1,race,,101,52,19,12,0.6470182175870226
non-aspirin-anti-platelet,1,race,c-shock,9,6,3,0,0.27853468418655897
non-aspirin-anti-platelet,1,race,no-c-shock,92,46,16,12,0.4061002447475257
non-aspirin-anti-platelet,2,sex,,137,65,45,19,0.7560526984554059
non-aspirin-anti-platelet,2,sex,c-shock,12,4,7,6,0.2981253986008547
non-aspirin-anti-platelet,2,sex,no-c-shock,125,61,38,13,0.3354212409631559
non-aspirin-anti-platelet,2,race,,112,41,23,8,0.9327662331464749
non-aspirin-anti-platelet,2,race,c-shock,9,6,3,0,0.27853468418655897
non-aspirin-anti-platelet,2,race,no-c-shock,103,35,20,8,0.7546452131969443
non-aspirin-anti-platelet,3,sex,,123,78,42,20,0.42171416366703207
non-aspirin-anti-platelet,3,sex,c-shock,11,5,5,6,0.3299047557806896
non-aspirin-anti-platelet,3,sex,no-c-shock,112,73,37,14,0.1211041611950856
non-aspirin-anti-platelet,3,race,,99,53,20,11,0.9856248904108996
non-aspirin-anti-platelet,3,race,c-shock,9,5,3,0,0.27942956379383843
