treatment,day-no,attribute,conditioned-on,majority-yes,majority-no,minority-yes,minority-no,p-value
all-analgesia,1,sex,,116,86,39,25,0.6306295858348202
all-analgesia,1,sex,c-shock,7,9,6,7,0.9649669256864088
all-analgesia,1,sex,no-c-shock,109,77,33,18,0.5717395682703291
all-analgesia,1,race,,97,56,20,11,0.9256266069335489
all-analgesia,1,race,c-shock,7,8,3,0,0.10235522814110036
all-analgesia,1,race,no-c-shock,90,48,17,11,0.6580237872314043
all-analgesia,2,sex,,145,57,49,15,0.48288640940622374
all-analgesia,2,sex,c-shock,13,3,8,5,0.2652194723486903
all-analgesia,2,sex,no-c-shock,132,54,41,10,0.1986600105247581
all-analgesia,2,race,,123,30,24,7,0.8238584852143437
all-analgesia,2,race,c-shock,11,4,3,0,0.39830310922732626
all-analgesia,2,race,no-c-shock,112,26,21,7,0.5097941512446815
all-analgesia,3,sex,,142,59,48,14,0.3114367713597586
all-analgesia,3,sex,c-shock,12,4,7,4,0.718841376913017
all-analgesia,3,sex,no-c-shock,130,55,41,10,0.1580516977208232
all-analgesia,3,race,,120,32,22,9,0.34866840513336667
all-analgesia,3,race,c-shock,11,3,3,0,0.49020081030299895
all-analgesia,3,race,no-c-shock,109,29,19,9,0.22699861417549802
all-analgesia,4,sex,,105,69,37,14,0.11790643398106052
all-analgesia,4,sex,c-shock,14,2,7,1,1.0
all-analgesia,4,sex,no-c-shock,91,67,30,13,0.15226647277501665
all-analgesia,4,race,,94,36,18,9,0.7187901928867008
all-analgesia,4,race,c-shock,11,2,3,0,0.663701458645489
all-analgesia,4,race,no-c-shock,83,34,15,9,0.46903648764983075
all-analgesia,5,sex,,83,34,31,10,0.7321696869585306
all-analgesia,5,sex,c-shock,11,5,7,1,0.37779155304519113
all-analgesia,5,sex,no-c-shock,72,29,24,9,0.8889368665212907
all-analgesia,5,race,,73,24,18,4,0.5812361258162563
all-analgesia,5,race,c-shock,9,4,3,0,0.3443835929816998
all-analgesia,5,race,no-c-shock,64,20,15,4,0.8357957927498872
all-analgesia,1-5,sex,,591,305,204,78,0.046602130449984146
all-analgesia,1-5,sex,c-shock,57,23,35,18,0.6016690448270791
all-analgesia,1-5,sex,no-c-shock,534,282,169,60,0.017412462591131054
all-analgesia,1-5,race,,507,178,102,40,0.6003962778732282
all-analgesia,1-5,race,c-shock,49,21,15,0,0.020352477805144452
all-analgesia,1-5,race,no-c-shock,458,157,87,40,0.17504788525638693
narcotics,1,sex,,66,136,22,42,0.865417755234113
narcotics,1,sex,c-shock,2,14,3,10,0.5757200467389411
narcotics,1,sex,no-c-shock,64,122,19,32,0.7901807115951037
narcotics,1,race,,54,99,13,18,0.5767760949898291
narcotics,1,race,c-shock,3,12,1,2,0.8272584782014741
narcotics,1,race,no-c-shock,51,87,12,16,0.5766753172075383
narcotics,2,sex,,89,113,34,30,0.2103388203105798
narcotics,2,sex,c-shock,7,9,7,6,0.7028389575135263
narcotics,2,sex,no-c-shock,82,104,27,24,0.3018320644117567
narcotics,2,race,,78,75,13,18,0.529068308124269
narcotics,2,race,c-shock,7,8,2,1,0.6722541177077623
narcotics,2,race,no-c-shock,71,67,11,17,0.2547054380928366
narcotics,3,sex,,84,117,36,26,0.026572340770498956
narcotics,3,sex,c-shock,7,9,6,5,0.662138030831655
narcotics,3,sex,no-c-shock,77,108,30,21,0.031351452949321755
narcotics,3,race,,78,74,11,20,0.11389211822995701
narcotics,3,race,c-shock,8,6,1,2,0.5827930527752743
narcotics,3,race,no-c-shock,70,68,10,18,0.154738608098468
